,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador
0,M1,INSP_MEC_CELDA_ Tce30,TEC-MEC,MCEL001,MCEL001M1,10,Verif tuer pern cil  dobl efc base 660H,TEC-MEC,PM01,1.0,2.0,MCEL001M110
1,M1,INSP_MEC_CELDA_ Tce30,TEC-MEC,MCEL001,MCEL001M1,20,Inspeccion general celda 330H,TEC-MEC,PM01,2.0,4.5,MCEL001M120
2,M1,INSP_MEC_CELDA_ Tce30,TEC-MEC,MCEL001,MCEL001M1,30,Inspeccion general celda 2000H,TEC-MEC,PM01,2.0,4.0,MCEL001M130
3,M2,PREV_MEC_CELDA_ Tce30,TEC-MEC,MCEL001,MCEL001M2,10,Mantenimiento general del tanque 8000H,TEC-MEC,PM01,2.0,4.0,MCEL001M210
4,M2,PREV_MEC_CELDA_ Tce30,TEC-MEC,MCEL001,MCEL001M2,20,Mtto general agitador 8000H,TEC-MEC,PM01,2.0,68.0,MCEL001M220
5,M2,PREV_MEC_CELDA_ Tce30,TEC-MEC,MCEL001,MCEL001M2,30,Mtto general valvula tipo dardo 8000H,TEC-MEC,PM01,2.0,64.0,MCEL001M230
6,M3,LUBR_MEC_CELDA_ Tce30,TEC-MEC,MCEL001,MCEL001M3,10,Lubricacion de los rodamientos 660H,TEC-MEC,PM01,2.0,3.0,MCEL001M310
7,E1,INSP_ELE_CELDA_ Tce30,TEC-ELE,MCEL001,MCEL001E1,10,Inspeccion general motor 2S,TEC-ELE,PM01,2.0,1.0,MCEL001E110
8,E2,PREV_ELE_CELDA_ Tce30,TEC-ELE,MCEL001,MCEL001E2,10,Mantenimiento menor de motor 2000H,TEC-ELE,PM01,2.0,1.0,MCEL001E210
9,E2,PREV_ELE_CELDA_ Tce30,TEC-ELE,MCEL001,MCEL001E2,20,Mtto general motor 4000H,TEC-ELE,PM01,2.0,6.0,MCEL001E220
10,E3,LUBR_ELE_CELDA_ Tce30,TEC-ELE,MCEL001,MCEL001E3,10,Lubricacion motor electrico 8000H,TEC-ELE,PM01,2.0,0.3,MCEL001E310
11,I1,INSP_INS_CELDA_ Tce30,TEC-INS,MCEL001,MCEL001I1,10,Verif sella valv dardo con asiento 3M,TEC-INS,PM01,2.0,2.0,MCEL001I110
12,I1,INSP_INS_CELDA_ Tce30,TEC-INS,MCEL001,MCEL001I1,20,Inspeccion de instrumentos 2S,TEC-INS,PM01,2.0,0.5,MCEL001I120
13,I2,PREV_INS_CELDA_ Tce30,TEC-INS,MCEL001,MCEL001I2,10,Mantenimiento de instrumentos 660H,TEC-INS,PM01,2.0,2.0,MCEL001I210
14,I2,PREV_INS_CELDA_ Tce30,TEC-INS,MCEL001,MCEL001I2,20,Contrastacion y/o ajuste de instr 660H,TEC-INS,PM01,2.0,1.0,MCEL001I220
15,I2,PREV_INS_CELDA_ Tce30,TEC-INS,MCEL001,MCEL001I2,30,Limpiar el interior 660H,TEC-INS,PM01,1.0,1.0,MCEL001I230
16,P1,PRED_CON_CELDA_ Tce30,TEC-PRED,MCEL001,MCEL001P1,10,Monitoreo de vibracion 330H,TEC-PRED,PM01,1.0,0.5,MCEL001P110
17,P1,PRED_CON_CELDA_ Tce30,TEC-PRED,MCEL001,MCEL001P1,20,Monitoreo de termografia 330H,TEC-PRED,PM01,1.0,0.5,MCEL001P120
18,P1,PRED_CON_CELDA_ Tce30,TEC-PRED,MCEL001,MCEL001P1,30,Monitorear nivel vibra rodamientos 330H,TEC-PRED,PM01,1.0,2.0,MCEL001P130
19,P1,PRED_CON_CELDA_ Tce30,TEC-PRED,MCEL001,MCEL001P1,40,Monit temp acople union eje rotor 330H,TEC-PRED,PM01,1.0,2.0,MCEL001P140
20,P1,PRED_CON_CELDA_ Tce30,TEC-PRED,MCEL001,MCEL001P1,50,Insp est aju pern sujecion inf eje 330H,TEC-PRED,PM01,2.0,1.0,MCEL001P150
